                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     43,                 1.4379,                   1.54,                0.78494,                0.86859,                0.64168,                0.45833,                0.50641,                0.27753,                 0.6733,                0.33333,                 0.3881,                0.18757,                 1.5215,                 1.6766,                0.93011,                0.93049,               0.007921,               0.007921,               0.007921
                     44,                 1.3103,                 1.6312,                0.75357,                0.86255,                0.86006,                0.45833,                0.54375,                0.32512,                 0.7671,                0.33333,                0.41343,                0.22392,                 1.4385,                 1.7959,                0.77142,                 0.9269,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.3384,                 1.6222,                0.72773,                0.86473,                0.92598,                0.52204,                0.61996,                0.31107,                0.71244,                0.41317,                0.45723,                0.15718,                 1.6561,                 1.6945,                0.74818,                0.93452,               0.007822,               0.007822,               0.007822
                     46,                 1.4035,                 1.6176,                0.76313,                0.85481,                0.63439,                0.54167,                0.56629,                0.30036,                0.37079,                0.41667,                0.37626,                0.15696,                 1.6373,                 1.2497,                  1.103,                0.90586,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.4392,                  1.586,                0.75617,                0.85501,                0.88079,                    0.5,                0.62719,                0.29719,                0.49569,                0.45833,                0.43007,                0.18772,                 1.5325,                 1.2429,                 1.2791,                0.88108,               0.007723,               0.007723,               0.007723
                     48,                 1.3531,                  1.437,                0.74815,                0.86459,                0.70783,                0.60616,                0.61723,                 0.3016,                0.50417,                0.45833,                0.43309,                0.20383,                 1.5483,                 1.0562,                 1.2872,                0.88701,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.3472,                 1.6442,                0.71451,                0.85038,                0.64063,                0.58333,                0.58718,                0.30619,                0.48285,                0.45833,                0.48535,                0.20653,                 1.5565,                 1.1341,                 1.3872,                0.88187,               0.007624,               0.007624,               0.007624
                     50,                  1.456,                 1.5411,                0.75796,                0.86972,                0.73131,                  0.625,                0.65516,                0.35959,                0.88669,                0.41667,                0.52801,                0.21992,                  1.524,                  1.052,                 1.1342,                0.88052,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.3589,                 1.6334,                0.70872,                0.85448,                0.78732,                0.58333,                0.64741,                0.34124,                0.97081,                  0.375,                0.47804,                0.20979,                 1.5907,                 1.1414,                 1.1672,                0.89901,               0.007525,               0.007525,               0.007525
                     52,                  1.327,                 1.5664,                0.70282,                0.85718,                0.77789,                0.54167,                0.59506,                0.33506,                0.84957,                0.29167,                 0.3986,                0.15358,                 1.5705,                 1.0158,                 1.1439,                0.89526,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.2871,                 1.5267,                0.69563,                0.85392,                0.77057,                0.54167,                0.63362,                0.30253,                0.97473,                0.29167,                 0.4095,                0.17952,                  1.533,                 1.1872,                 1.4967,                0.92339,               0.007426,               0.007426,               0.007426
                     54,                 1.3251,                 1.5685,                0.71738,                0.83935,                0.68888,                0.58333,                0.60034,                0.31919,                 0.4928,                0.41667,                0.39508,                0.17605,                 1.4559,                 1.2391,                0.97763,                0.89008,              0.0073765,              0.0073765,              0.0073765
                     55,                  1.278,                 1.6232,                 0.6721,                0.84974,                0.82116,                0.57439,                 0.6126,                 0.2721,                0.63942,                0.33333,                0.40713,                0.17013,                 1.4302,                 1.0745,                 1.7108,                0.86276,               0.007327,               0.007327,               0.007327
                     56,                 1.3036,                 1.3685,                0.69383,                0.84239,                0.76932,                0.33333,                0.43645,                0.21221,                0.74128,                0.16667,                0.23335,                0.11898,                 1.6451,                 1.0454,                 2.1975,                0.90455,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.3745,                 1.4454,                0.73837,                 0.8552,                0.65854,                    0.5,                0.47573,                0.25668,                0.53191,                0.33333,                0.37123,                 0.1489,                 1.4946,                0.92365,                 1.5218,                0.85454,               0.007228,               0.007228,               0.007228
                     58,                 1.3223,                 1.5131,                0.70259,                0.84755,                 0.7484,                    0.5,                0.60061,                0.31672,                0.38407,                  0.375,                0.31888,                 0.1449,                 1.2589,                 0.9828,                0.88092,                0.84937,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.2667,                 1.4866,                0.68554,                0.84329,                0.51978,                0.54167,                0.51344,                0.29804,                0.41122,                  0.375,                 0.3027,                0.15579,                 1.3957,                0.90256,                0.85173,                0.89494,               0.007129,               0.007129,               0.007129
                     60,                 1.3498,                 1.4181,                0.70694,                 0.8374,                0.70109,                0.45833,                0.50055,                0.31822,                0.53013,                0.33333,                0.34259,                0.16574,                 1.3616,                0.88935,                0.94439,                0.90376,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.3485,                 1.4783,                0.70619,                0.85862,                0.60609,                0.54167,                0.54453,                 0.2914,                0.42949,                  0.375,                0.35565,                0.19196,                 1.4072,                0.95078,                 1.0461,                0.89048,                0.00703,                0.00703,                0.00703
